set,n,result,instance,D,runtime,seed
BBGRL,1000,1,1000_ep0.0075_0_gilbert_4.in,10,6.225,1.50372E+18
BBGRL,1000,996,1000_ep0.0125_0_gilbert_7.in,1,49.5974,1.50372E+18
BBGRL,1000,991,1000_ep0.0125_0_gilbert_7.in,2,167.3343,1.50372E+18
BBGRL,1000,986,1000_ep0.0125_0_gilbert_7.in,3,167.1497,1.50372E+18
BBGRL,1000,981,1000_ep0.0125_0_gilbert_7.in,4,167.4567,1.50372E+18
BBGRL,1000,975,1000_ep0.0125_0_gilbert_7.in,5,167.4731,1.50372E+18
BBGRL,1000,970,1000_ep0.0125_0_gilbert_7.in,6,167.2893,1.50E+18
BBGRL,1000,966,1000_ep0.0125_0_gilbert_7.in,7,167.9464,1.50372E+18
BBGRL,1000,961,1000_ep0.0125_0_gilbert_7.in,8,167.286,1.50372E+18
BBGRL,1000,953,1000_ep0.0125_0_gilbert_7.in,9,167.3789,1.50372E+18
BBGRL,1000,947,1000_ep0.0125_0_gilbert_7.in,10,167.4758,1.50372E+18
BBGRL,1000,992,1000_ep0.0075_0_gilbert_5.in,1,59.9075,1.50372E+18
BBGRL,1000,985,1000_ep0.0075_0_gilbert_5.in,2,167.1529,1.50372E+18
BBGRL,1000,977,1000_ep0.0075_0_gilbert_5.in,3,167.385,1.50372E+18
BBGRL,1000,969,1000_ep0.0075_0_gilbert_5.in,4,167.3284,1.50372E+18
BBGRL,1000,962,1000_ep0.0075_0_gilbert_5.in,5,167.3167,1.50372E+18
BBGRL,1000,950,1000_ep0.0075_0_gilbert_5.in,6,172.3217,1.50372E+18
BBGRL,1000,3,1000_ep0.0075_0_gilbert_5.in,7,57.225,1.50372E+18
BBGRL,1000,2,1000_ep0.0075_0_gilbert_5.in,8,20.3053,1.50372E+18
BBGRL,1000,1,1000_ep0.0075_0_gilbert_5.in,9,9.5436,1.50372E+18
BBGRL,1000,1,1000_ep0.0075_0_gilbert_5.in,10,9.33,1.50372E+18
BBGRL,1000,990,1000_ep0.0075_0_gilbert_8.in,1,56.3187,1.50372E+18
BBGRL,1000,983,1000_ep0.0075_0_gilbert_8.in,2,159.5378,1.50372E+18
BBGRL,1000,974,1000_ep0.0075_0_gilbert_8.in,3,167.1383,1.50E+18
BBGRL,1000,967,1000_ep0.0075_0_gilbert_8.in,4,167.3628,1.50372E+18
BBGRL,1000,958,1000_ep0.0075_0_gilbert_8.in,5,167.2243,1.50372E+18
BBGRL,1000,953,1000_ep0.0075_0_gilbert_8.in,6,167.5031,1.50372E+18
BBGRL,1000,5,1000_ep0.0075_0_gilbert_8.in,7,85.3127,1.50372E+18
BBGRL,1000,2,1000_ep0.0075_0_gilbert_8.in,8,12.3982,1.50372E+18
BBGRL,1000,1,1000_ep0.0075_0_gilbert_8.in,9,9.7628,1.50372E+18
BBGRL,1000,1,1000_ep0.0075_0_gilbert_8.in,10,9.4841,1.50372E+18
BBGRL,1000,992,1000_ep0.0075_0_gilbert_9.in,1,59.9107,1.50372E+18
BBGRL,1000,984,1000_ep0.0075_0_gilbert_9.in,2,74.8074,1.50372E+18
BBGRL,1000,978,1000_ep0.0075_0_gilbert_9.in,3,167.2589,1.50372E+18
BBGRL,1000,971,1000_ep0.0075_0_gilbert_9.in,4,167.0984,1.50372E+18
BBGRL,1000,961,1000_ep0.0075_0_gilbert_9.in,5,167.2742,1.50372E+18
BBGRL,1000,951,1000_ep0.0075_0_gilbert_9.in,6,167.2039,1.50372E+18
BBGRL,1000,945,1000_ep0.0075_0_gilbert_9.in,7,168.1242,1.50372E+18
BBGRL,1000,5,1000_ep0.0075_0_gilbert_9.in,8,74.8668,1.50372E+18
BBGRL,1000,2,1000_ep0.0075_0_gilbert_9.in,9,15.6993,1.50372E+18
